year_month;uf;product;unit;volume;created_at
'2013JAN;RONDÔNIA;ÓLEO DIESEL S-10;m3;3517,6;2023-10-20 14:46:16.368086'
'2013FEV;RONDÔNIA;ÓLEO DIESEL S-10;m3;3681,7;2023-10-20 14:46:16.368086'
'2013MAR;RONDÔNIA;ÓLEO DIESEL S-10;m3;4700,67;2023-10-20 14:46:16.368086'
'2013ABR;RONDÔNIA;ÓLEO DIESEL S-10;m3;5339,2;2023-10-20 14:46:16.368086'
'2013MAI;RONDÔNIA;ÓLEO DIESEL S-10;m3;6166,4;2023-10-20 14:46:16.368086'
'2013JUN;RONDÔNIA;ÓLEO DIESEL S-10;m3;6539,65;2023-10-20 14:46:16.368086'
'2013JUL;RONDÔNIA;ÓLEO DIESEL S-10;m3;7283,7;2023-10-20 14:46:16.368086'
'2013AGO;RONDÔNIA;ÓLEO DIESEL S-10;m3;8082,85;2023-10-20 14:46:16.368086'
'2013SET;RONDÔNIA;ÓLEO DIESEL S-10;m3;7902,55;2023-10-20 14:46:16.368086'
'2013OUT;RONDÔNIA;ÓLEO DIESEL S-10;m3;9383,15;2023-10-20 14:46:16.368086'
'2013NOV;RONDÔNIA;ÓLEO DIESEL S-10;m3;9767,4;2023-10-20 14:46:16.368086'
'2013DEZ;RONDÔNIA;ÓLEO DIESEL S-10;m3;9088,8;2023-10-20 14:46:16.368086'
'2013JAN;ACRE;ÓLEO DIESEL S-10;m3;363;2023-10-20 14:46:16.368086'
'2013FEV;ACRE;ÓLEO DIESEL S-10;m3;410;2023-10-20 14:46:16.368086'
'2013MAR;ACRE;ÓLEO DIESEL S-10;m3;536;2023-10-20 14:46:16.368086'
'2013ABR;ACRE;ÓLEO DIESEL S-10;m3;607;2023-10-20 14:46:16.368086'
'2013MAI;ACRE;ÓLEO DIESEL S-10;m3;740;2023-10-20 14:46:16.368086'
'2013JUN;ACRE;ÓLEO DIESEL S-10;m3;756;2023-10-20 14:46:16.368086'
'2013JUL;ACRE;ÓLEO DIESEL S-10;m3;971;2023-10-20 14:46:16.368086'
'2013AGO;ACRE;ÓLEO DIESEL S-10;m3;1174;2023-10-20 14:46:16.368086'
'2013SET;ACRE;ÓLEO DIESEL S-10;m3;1240;2023-10-20 14:46:16.368086'
'2013OUT;ACRE;ÓLEO DIESEL S-10;m3;1439;2023-10-20 14:46:16.368086'
'2013NOV;ACRE;ÓLEO DIESEL S-10;m3;1483;2023-10-20 14:46:16.368086'
'2013DEZ;ACRE;ÓLEO DIESEL S-10;m3;1483;2023-10-20 14:46:16.368086'
'2013JAN;AMAZONAS;ÓLEO DIESEL S-10;m3;3190,585;2023-10-20 14:46:16.368086'
'2013FEV;AMAZONAS;ÓLEO DIESEL S-10;m3;3305;2023-10-20 14:46:16.368086'
'2013MAR;AMAZONAS;ÓLEO DIESEL S-10;m3;3391;2023-10-20 14:46:16.368086'
'2013ABR;AMAZONAS;ÓLEO DIESEL S-10;m3;3637;2023-10-20 14:46:16.368086'
'2013MAI;AMAZONAS;ÓLEO DIESEL S-10;m3;4250;2023-10-20 14:46:16.368086'
'2013JUN;AMAZONAS;ÓLEO DIESEL S-10;m3;4576;2023-10-20 14:46:16.368086'
'2013JUL;AMAZONAS;ÓLEO DIESEL S-10;m3;5756,879;2023-10-20 14:46:16.368086'
'2013AGO;AMAZONAS;ÓLEO DIESEL S-10;m3;6228,636;2023-10-20 14:46:16.368086'
'2013SET;AMAZONAS;ÓLEO DIESEL S-10;m3;6334;2023-10-20 14:46:16.368086'
'2013OUT;AMAZONAS;ÓLEO DIESEL S-10;m3;7154,2;2023-10-20 14:46:16.368086'
'2013NOV;AMAZONAS;ÓLEO DIESEL S-10;m3;6836,3;2023-10-20 14:46:16.368086'
'2013DEZ;AMAZONAS;ÓLEO DIESEL S-10;m3;6784,232;2023-10-20 14:46:16.368086'
'2013JAN;RORAIMA;ÓLEO DIESEL S-10;m3;795,4;2023-10-20 14:46:16.368086'
'2013FEV;RORAIMA;ÓLEO DIESEL S-10;m3;757,2;2023-10-20 14:46:16.368086'
'2013MAR;RORAIMA;ÓLEO DIESEL S-10;m3;939,8;2023-10-20 14:46:16.368086'
